EventTime	Type	Energy_MeV	Time_ns
1161	proton	0.538696	9.148130
1164	proton	2.280536	9.367583
1164	proton	0.901179	9.371265
1164	proton	0.144557	9.068613
1167	proton	2.248910	9.555454
1167	proton	0.859944	9.559125
1167	proton	0.026640	9.560675
1167	proton	0.000769	9.560948
1172	proton	2.052586	9.787770
1172	proton	0.570358	9.791345
1178	proton	1.091304	9.346236
1179	proton	1.054242	9.194425
1179	proton	0.016617	9.196359
1180	proton	0.212137	9.849873
1180	proton	1.798458	9.084939
1180	proton	0.279048	9.088304
1183	proton	0.939890	7.925704
1190	proton	0.709149	7.878755
1193	proton	2.517278	8.855718
1193	proton	1.228611	8.859466
1201	proton	1.829816	9.331163
1201	proton	0.322816	9.334562
1201	proton	0.005798	9.335176
1206	proton	1.305052	9.690837
1206	proton	0.012868	9.693292
1208	proton	0.160080	8.922571
1208	proton	0.004068	8.922971
1229	proton	0.157208	9.170144
1237	proton	0.058568	10.706444
1237	proton	0.005804	10.706747
1237	proton	2.275991	9.808826
1237	proton	0.845904	9.812507
1237	proton	0.001952	9.814030
1240	proton	1.800285	9.988615
1240	proton	0.268071	9.991982
1240	proton	0.011038	9.992517
1246	proton	0.189039	9.340704
1266	proton	0.000332	10.933476
1266	proton	2.603006	9.126197
1266	proton	1.355722	9.129962
1268	proton	0.989063	9.441090
1307	proton	0.005198	9.776822
1313	proton	0.207078	8.414007
1314	proton	1.872662	8.228674
1314	proton	0.343638	8.232114
1333	proton	0.702141	8.459080
1333	proton	0.022144	8.460334
1333	proton	0.000884	8.460601
1336	proton	2.567416	9.363955
1336	proton	1.299068	9.367713
1336	proton	0.024315	9.370155
1337	proton	1.008304	9.316454
1345	proton	1.647071	9.570195
1345	proton	0.052994	9.573357
1345	proton	0.002556	9.573656
1346	proton	1.835481	9.189637
1346	proton	0.271567	9.193042
1346	proton	0.000685	9.193582
1352	proton	0.603024	9.525191
1352	proton	0.004578	9.526266
1355	proton	1.150152	9.829178
1355	proton	0.010888	9.831308
1362	proton	0.688852	8.820444
1364	proton	0.222086	9.950289
1364	proton	0.000949	9.950763
1364	proton	1.610130	9.503138
1365	proton	1.050002	9.201031
1365	proton	0.007368	9.202956
1369	proton	1.286162	9.185701
1369	proton	0.003998	9.188115
1377	proton	1.959664	8.191824
1377	proton	0.494953	8.195337
1377	proton	0.005062	8.196225
1380	proton	2.198583	9.119810
1380	proton	0.804324	9.123460
1386	proton	1.460883	9.478075
1386	proton	0.004714	9.480866
1386	proton	0.304802	9.064228
1392	proton	0.743983	8.906362
1392	proton	0.001579	8.907693
1392	proton	0.527436	8.772753
1393	proton	0.010188	11.046370
1393	proton	0.000616	11.046556
1397	proton	2.124927	8.919741
1397	proton	0.683965	8.923356
1397	proton	0.003497	8.924576
1405	proton	0.993049	9.015082
1420	proton	0.421182	8.682680
1420	proton	0.002237	8.683446
1420	proton	2.258854	8.247620
1420	proton	0.880268	8.251295
1425	proton	0.606528	9.774423
1429	proton	1.843754	8.559271
1429	proton	0.295503	8.562683
1452	proton	1.028201	8.765435
1452	proton	0.006606	8.767316
1472	proton	0.481575	9.991966
1472	proton	0.002012	9.992832
1492	proton	0.389197	9.937846
1499	proton	1.561623	8.952429
1499	proton	0.026498	8.955438
1499	proton	0.002102	8.955711
1500	proton	0.892129	9.582746
1500	proton	0.025042	9.584358
1505	proton	1.296642	9.844179
1511	proton	2.033735	9.655680
1511	proton	0.594722	9.659243
1526	proton	1.897644	9.524313
1526	proton	0.393968	9.527775
